last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,r_total_caught_stealing,r_total_stolen_base,b_ab_scoring,b_ball,b_called_strike,b_catcher_interf,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,
Cabrera, Miguel,408234,2021,38,296,326,73,55,8,0,10,81,23,24.8,7.1,.247,.375,.304,.679,0,0,85,405,207,0,.229,.408,.297,.306,.291,.179,.359,.373,91.5,10.8,32.4,8.7,
Cruz Jr., Nelson,443558,2021,41,313,366,89,54,13,1,21,70,38,19.1,10.4,.284,.534,.361,.894,0,3,89,458,161,3,.276,.526,.374,.384,.364,.250,.431,.445,93.6,10.8,32,14.4,
Peralta, David,444482,2021,34,332,370,84,52,20,7,5,60,35,16.2,9.5,.253,.401,.327,.728,1,1,105,491,250,0,.237,.344,.316,.295,.314,.106,.337,.309,89.2,4.5,27.5,5.5,
Blackmon, Charlie,453568,2021,35,324,370,88,64,16,2,6,47,37,12.7,10.0,.272,.389,.359,.748,0,2,101,446,221,0,.287,.421,.337,.352,.372,.134,.337,.357,87.3,8.4,29.8,5.3,
McCutchen, Andrew,457705,2021,35,323,393,77,43,13,1,20,90,60,22.9,15.3,.238,.471,.356,.827,2,6,105,597,299,0,.249,.450,.355,.361,.368,.201,.401,.410,88.4,12.7,37.5,10.4,
Turner, Justin,457759,2021,37,351,406,104,70,16,0,18,66,44,16.3,10.8,.296,.496,.387,.882,0,0,111,573,276,0,.273,.475,.380,.369,.369,.202,.408,.393,91,18.9,39.7,8.7,
Andrus, Elvis,462101,2021,33,353,379,82,60,19,1,2,67,19,17.7,5.0,.232,.309,.272,.581,2,10,86,454,253,0,.267,.373,.255,.299,.308,.106,.285,.342,87.9,9.6,35.7,2.4,
Santana, Carlos,467793,2021,35,359,428,85,58,10,0,17,67,62,15.7,14.5,.237,.407,.350,.757,0,2,110,672,267,0,.238,.446,.332,.348,.352,.208,.331,.355,90.4,13.4,28.7,8.1,
Lowrie, Jed,476704,2021,37,343,381,88,58,19,0,11,76,36,19.9,9.4,.257,.408,.325,.734,0,0,107,556,218,0,.265,.478,.319,.351,.335,.213,.361,.406,91,15.6,38.3,10.4,
Brantley Jr., Michael,488726,2021,34,319,348,104,70,26,2,6,38,24,10.9,6.9,.326,.476,.379,.856,1,1,71,431,245,0,.322,.482,.371,.376,.378,.159,.388,.395,89.9,10.3,41.1,6.4,
Gurriel, Yuli,493329,2021,37,348,404,110,76,23,0,11,43,41,10.6,10.1,.316,.477,.384,.861,1,1,120,560,284,0,.265,.377,.369,.326,.347,.111,.373,.319,90.2,13.9,30.1,3.5,
Rojas, Miguel,500743,2021,32,300,329,80,52,21,2,5,46,24,14.0,7.3,.267,.400,.328,.728,1,8,69,426,207,0,.240,.335,.319,.288,.304,.095,.335,.295,86.9,11.8,34.5,2,
Escobar, Eduardo,500871,2021,32,370,400,91,52,14,3,22,85,29,21.3,7.3,.246,.478,.300,.778,0,1,106,537,240,0,.244,.457,.331,.325,.298,.213,.393,.386,87.5,20.6,35.7,9.8,
Pham, Tommy,502054,2021,33,326,390,84,57,14,2,11,86,56,22.1,14.4,.258,.414,.369,.783,6,13,87,663,335,0,.259,.450,.346,.363,.372,.192,.382,.410,90.6,8.6,36.9,10.2,
Martinez, J.D.,502110,2021,34,372,418,109,58,28,3,20,95,41,22.7,9.8,.293,.546,.361,.907,0,0,113,510,182,0,.279,.514,.382,.371,.351,.235,.467,.451,92.3,16.9,40.2,11.7,
Goldschmidt, Paul,502671,2021,34,387,429,104,69,17,1,17,92,39,21.4,9.1,.269,.450,.338,.788,0,6,102,594,324,0,.284,.541,.341,.382,.352,.256,.399,.457,92.9,16.9,35.8,12.2,
Altuve, Jose,514888,2021,31,368,423,102,65,14,0,23,64,47,15.1,11.1,.277,.503,.357,.860,2,4,86,519,290,0,.261,.429,.366,.342,.347,.168,.391,.359,88.4,15.5,31.6,7.4,
Hernandez, Cesar,514917,2021,31,376,420,87,50,17,2,18,90,38,21.4,9.0,.231,.431,.307,.738,0,0,87,574,283,0,.250,.420,.319,.328,.324,.170,.364,.377,88.6,11.8,34.4,9.4,
Segura, Jean,516416,2021,31,294,323,90,65,16,3,6,48,21,14.9,6.5,.306,.442,.359,.801,1,7,82,383,222,0,.265,.383,.347,.315,.325,.118,.380,.339,87.9,4.2,30.1,5.6,
Castro, Starlin,516770,2021,31,315,346,89,66,20,0,3,62,26,17.9,7.5,.283,.375,.332,.707,1,0,100,426,239,1,.270,.406,.310,.323,.326,.136,.347,.365,88.4,9.2,33.9,5.4,
Donaldson, Josh,518626,2021,36,272,329,68,37,15,0,16,64,49,19.5,14.9,.250,.482,.359,.840,0,0,68,478,174,0,.266,.532,.358,.386,.374,.266,.389,.432,94.1,13.2,27,17.7,
Freeman, Freddie,518692,2021,32,376,445,108,71,14,0,23,74,64,16.6,14.4,.287,.508,.393,.901,3,6,100,638,196,0,.313,.576,.380,.416,.413,.264,.417,.468,92.3,13.2,36.3,12.4,
LeMahieu, DJ,518934,2021,33,386,438,102,80,15,0,7,67,46,15.3,10.5,.264,.358,.345,.702,0,4,93,608,350,0,.277,.389,.313,.336,.358,.112,.321,.352,90.4,4.1,32.9,4,
Rizzo, Anthony,519203,2021,32,323,376,80,47,16,3,14,59,36,15.7,9.6,.248,.446,.346,.792,2,4,87,461,255,0,.263,.444,.343,.354,.361,.181,.354,.369,91.1,14.1,32.2,9.4,
Stanton, Giancarlo,519317,2021,32,298,344,76,50,10,0,16,101,44,29.4,12.8,.255,.450,.352,.801,0,0,82,520,250,0,.241,.430,.348,.340,.341,.189,.449,.435,95.4,8.4,27.8,13.6,
Perez, Salvador,521692,2021,31,396,414,111,68,18,0,25,111,10,26.8,2.4,.280,.515,.309,.824,0,1,105,395,151,0,.274,.545,.348,.361,.304,.271,.465,.482,92.9,15,33.9,15.4,
Garcia, Avisail,541645,2021,30,326,357,84,54,13,0,17,89,23,24.9,6.4,.258,.454,.317,.771,4,4,98,352,118,0,.272,.486,.330,.351,.331,.214,.411,.442,90.5,9.2,35.6,11.7,
Aguilar, Jesus,542583,2021,31,343,387,92,57,17,0,18,73,33,18.9,8.5,.268,.475,.331,.806,0,0,124,509,283,1,.272,.471,.342,.346,.337,.199,.389,.395,90.6,17.9,36.5,9,
Grossman, Robbie,543257,2021,32,358,438,82,52,12,2,16,101,68,23.1,15.5,.229,.408,.354,.762,4,12,100,762,352,0,.230,.403,.337,.341,.358,.173,.368,.375,88.6,20.2,39.8,8.3,
